fecha;valor_total;coste_total;latente
2025-12-11;521327.76;630740.80;-109413.03
2025-12-12;1494577.28;1626271.35;-131694.08
2025-12-15;1494798.00;1629529.16;-134731.16
2025-12-16;1485488.65;1629529.16;-144040.50
2025-12-17;1491434.60;1641541.47;-150106.88
2025-12-18;1501852.29;1641541.47;-139689.18
2025-12-19;1508904.82;1641541.47;-132636.66
2025-12-22;1515463.78;1641541.47;-126077.70
2025-12-23;1504675.96;1641541.47;-136865.51
2025-12-24;1505759.82;1641541.47;-135781.65
2025-12-26;1503836.84;1641541.47;-137704.63
2025-12-29;1505872.53;1641541.47;-135668.94
2025-12-30;1510752.08;1641541.47;-130789.39
2025-12-31;1510217.77;1641541.47;-131323.70
2026-01-02;1543983.16;1654363.97;-110380.81
2026-01-05;1565245.59;1671147.46;-105901.86
2026-01-06;1587388.96;1671147.46;-83758.50
2026-01-07;1598971.70;1683344.81;-84373.11
2026-01-08;1593484.69;1677164.52;-83679.82
2026-01-09;1605416.17;1687495.54;-82079.37
2026-01-12;1595194.64;1679789.85;-84595.21
2026-01-13;1589141.42;1684529.34;-95387.91
2026-01-14;1601155.26;1688390.74;-87235.47
2026-01-15;1599679.92;1688390.74;-88710.82
2026-01-16;1597518.70;1688390.74;-90872.04
2026-01-19;1586349.01;1688390.74;-102041.73
2026-01-20;1563708.58;1688390.74;-124682.16
2026-01-21;1586752.42;1699406.84;-112654.42
2026-01-22;1615366.98;1697097.81;-81730.83
2026-01-23;1612615.25;1706095.02;-93479.76
2026-01-26;1609643.36;1711391.43;-101748.06
2026-01-27;1612049.78;1711391.43;-99341.65
2026-01-28;1614857.31;1726333.78;-111476.46
2026-01-29;1600287.61;1726333.78;-126046.17
2026-01-30;1599035.35;1726333.78;-127298.42
2026-02-02;1611080.20;1726333.78;-115253.58
2026-02-03;1601803.11;1726333.78;-124530.66
2026-02-04;1584433.84;1702872.61;-118438.78
2026-02-05;1562528.58;1702872.61;-140344.03
2026-02-06;1595739.71;1711370.11;-115630.39
2026-02-09;1602946.44;1706244.77;-103298.33
2026-02-10;1609370.23;1706244.77;-96874.54
2026-02-11;1608142.06;1711078.92;-102936.86
2026-02-12;1574899.90;1688091.26;-113191.35
2026-02-13;1584117.69;1688091.26;-103973.56
2026-02-16;1580872.12;1688091.26;-107219.14
2026-02-17;1587810.10;1688091.26;-100281.16
2026-02-18;1599061.69;1688091.26;-89029.56
2026-02-19;1587849.85;1688091.26;-100241.41
2026-02-20;1595534.40;1694939.59;-99405.19
2026-02-23;1600497.88;1715296.57;-114798.69
2026-02-24;1620339.52;1715296.57;-94957.04
2026-02-25;1623414.57;1709276.53;-85861.95
2026-02-26;1624038.61;1709276.53;-85237.91
2026-02-27;1600569.91;1696707.45;-96137.54
2026-03-02;1601631.17;1718211.77;-116580.60
2026-03-03;1545381.34;1718211.77;-172830.43
2026-03-04;1576435.81;1718211.77;-141775.96
2026-03-05;1556701.60;1718211.77;-161510.17
2026-03-06;1538575.22;1718211.77;-179636.55
2026-03-09;1534534.55;1718211.77;-183677.22
2026-03-10;1557895.03;1726895.45;-169000.42
2026-03-11;1550795.14;1726895.45;-176100.31
2026-03-12;1545760.58;1737485.45;-191724.88
2026-03-13;1540781.36;1737485.45;-196704.09
2026-03-16;1553538.58;1737485.45;-183946.87
2026-03-17;1570653.69;1744859.29;-174205.61
2026-03-18;1553624.78;1744859.29;-191234.51
2026-03-19;1525421.54;1738010.96;-212589.42
2026-03-20;1498036.66;1738010.96;-239974.31
2026-03-23;1523603.70;1738010.96;-214407.26
2026-03-24;1519558.06;1735601.98;-216043.92
2026-03-25;1541642.22;1735601.98;-193959.77
2026-03-26;1534434.19;1735601.98;-201167.79
2026-03-27;1514596.22;1735601.98;-221005.76
2026-03-30;1530611.06;1746819.73;-216208.67
2026-03-31;1556396.59;1754635.33;-198238.74
2026-04-01;1583466.47;1754635.33;-171168.86
2026-04-02;1595060.11;1755847.33;-160787.22
2026-04-06;1604904.13;1763039.81;-158135.68
2026-04-07;1587988.52;1765864.53;-177876.00
2026-04-08;1628295.13;1759808.56;-131513.43
2026-04-09;1650980.23;1781394.91;-130414.68
2026-04-10;1654469.03;1781394.91;-126925.88
2026-04-13;1667345.18;1792736.50;-125391.32
2026-04-14;1679206.76;1790461.18;-111254.42
2026-04-15;1696446.13;1798059.58;-101613.45
2026-04-16;1709147.09;1803425.22;-94278.13
2026-04-17;1743250.68;1814819.22;-71568.54
2026-04-20;1750875.02;1818757.04;-67882.03
2026-04-21;1731148.94;1811564.57;-80415.62
2026-04-22;1745796.19;1821792.45;-75996.26
